taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
176039	0	1	1	0	12	4	12	0	0	32	2	0	0	3	0	0	0	235	12	14	16	9	1
176057	0	1	1	0	12	1	11	0	0	21	3	0	0	2	0	0	0	146	12	12	9	5	1
176275	1	0	0	0	4	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
1763456	1	0	0	2	3	1	1	0	0	0	3	0	1	1	0	0	2	0	0	0	0	0	0
176857	0	0	0	0	2	1	2	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0	0
176938	0	1	1	0	13	4	8	0	0	27	2	0	0	3	0	0	0	211	16	18	13	10	1
176943	0	1	1	0	16	5	9	0	0	42	2	0	0	3	0	0	0	244	15	11	15	10	2
176946	0	1	1	0	20	5	14	0	0	619	4	0	0	3	1	213	0	303	19	26	40	11	2
1769908	1	0	0	3	5	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
177199	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
178035	0	0	0	0	5	3	3	7	0	0	3	0	0	3	0	0	0	65	4	3	9	3	0
178133	0	0	0	0	5	3	6	0	0	0	7	0	0	4	0	0	1	2	0	0	1	0	0
1789683	0	0	0	1	1	1	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
179855	0	0	0	2	18	1	2	0	0	0	8	0	8	1	0	0	0	0	0	0	0	0	0
179993	1	0	0	3	3	1	1	0	0	0	3	1	1	1	0	0	3	0	0	0	0	0	0
180088	0	0	0	0	15	1	2	0	0	0	13	0	5	1	0	0	0	0	0	0	0	0	0
1803374	2	0	0	0	4	1	2	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
1803897	0	0	0	4	3	1	1	0	0	0	3	1	1	1	0	0	3	0	0	0	0	0	0
180498	0	0	0	0	1	1	4	0	0	0	6	0	0	3	0	0	1	0	0	0	0	0	0
180675	0	0	0	0	2	4	7	0	0	0	10	0	0	5	0	0	2	0	0	0	2	0	0
1806994	0	0	0	1	4	1	1	0	0	0	3	0	0	1	0	0	2	1	0	0	0	0	0
1810919	2	0	0	2	4	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
181099	0	1	1	0	14	4	10	0	0	32	1	0	0	3	0	0	0	244	17	13	17	11	5
181124	0	0	0	0	22	1	2	0	0	0	5	0	6	1	0	0	0	0	0	0	0	0	0
1813822	1	0	0	2	5	1	1	0	0	0	3	0	1	1	0	0	2	0	0	0	0	0	0
181472	0	1	1	0	25	8	26	0	0	57	3	0	0	3	3	24	0	515	26	40	46	15	2
181606	0	0	0	0	5	1	4	0	0	0	3	0	0	2	0	0	0	41	4	2	7	5	0
181631	0	1	0	0	15	4	12	0	0	21	3	0	0	3	0	0	0	259	17	20	18	10	7
181762	0	0	0	0	21	1	2	0	0	0	3	0	10	1	0	0	0	0	0	0	0	0	0
181839	0	1	1	0	14	5	10	0	0	28	1	0	0	3	0	0	0	245	17	15	16	11	7
181874	0	0	0	2	14	1	1	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0
1819745	0	0	0	0	5	2	1	0	0	0	3	0	0	2	0	0	0	31	0	0	6	2	0
1820382	0	1	0	0	5	2	5	12	0	0	5	0	0	2	0	0	0	123	6	9	16	3	0
182062	0	0	0	0	17	1	1	0	0	0	3	0	7	1	0	0	0	0	0	0	0	0	0
182096	1	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1821822	0	0	0	0	1	1	1	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0
1825666	1	0	0	1	3	1	1	0	0	0	2	1	1	1	0	0	2	0	0	0	0	0	0
1825980	0	1	1	0	17	6	15	0	0	413	2	0	0	3	2	1	0	337	19	31	22	11	11
182803	0	2	0	0	18	7	3	19	0	0	6	0	0	6	0	0	0	234	24	35	24	8	0
182897	0	1	1	0	12	4	11	0	0	25	1	0	0	3	0	0	0	242	16	14	16	10	6
183150	0	1	1	0	30	8	20	0	0	38	3	0	0	4	2	7	0	448	21	31	35	14	1
183268	0	0	0	0	4	4	9	0	0	0	14	0	0	4	0	0	4	0	0	0	0	0	0
